Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product HS Code,Product Origin Country,Product MID Code,Product Material,Product Collection Id,Product Type Id,Product Tag 1,Product Discountable,Product External Id,Variant Id,Variant Title,Variant SKU,Variant Barcode,Variant Allow Backorder,Variant Manage Inventory,Variant Weight,Variant Length,Variant Width,Variant Height,Variant HS Code,Variant Origin Country,Variant MID Code,Variant Material,Variant Price EUR,Variant Price USD,Variant Option 1 Name,Variant Option 1 Value,Product Image 1 Url,Product Image 2 Url
,sildenafil-citrate,Sildenafil Citrate,Generic Viagra,Effective treatment for erectile dysfunction. Sildenafil helps increase blood flow to facilitate erections. Take 30-60 minutes before activity.,published,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=400,50,,,,,India,,,,,Erectile Dysfunction,TRUE,,,25mg - 10 pills,SIL-25-10,,FALSE,TRUE,,,,,,,,,15,15,Dosage,25mg - 10 pills,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=800,
,sildenafil-citrate,Sildenafil Citrate,Generic Viagra,Effective treatment for erectile dysfunction. Sildenafil helps increase blood flow to facilitate erections.,published,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=400,50,,,,,India,,,,,Erectile Dysfunction,TRUE,,,25mg - 30 pills,SIL-25-30,,FALSE,TRUE,,,,,,,,,35,35,Dosage,25mg - 30 pills,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=800,
,sildenafil-citrate,Sildenafil Citrate,Generic Viagra,Effective treatment for erectile dysfunction. Sildenafil helps increase blood flow to facilitate erections.,published,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=400,50,,,,,India,,,,,Erectile Dysfunction,TRUE,,,50mg - 10 pills,SIL-50-10,,FALSE,TRUE,,,,,,,,,20,20,Dosage,50mg - 10 pills,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=800,
,sildenafil-citrate,Sildenafil Citrate,Generic Viagra,Effective treatment for erectile dysfunction. Sildenafil helps increase blood flow to facilitate erections.,published,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=400,50,,,,,India,,,,,Erectile Dysfunction,TRUE,,,50mg - 30 pills,SIL-50-30,,FALSE,TRUE,,,,,,,,,45,45,Dosage,50mg - 30 pills,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=800,
,sildenafil-citrate,Sildenafil Citrate,Generic Viagra,Effective treatment for erectile dysfunction. Sildenafil helps increase blood flow to facilitate erections.,published,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=400,50,,,,,India,,,,,Erectile Dysfunction,TRUE,,,100mg - 10 pills,SIL-100-10,,FALSE,TRUE,,,,,,,,,30,30,Dosage,100mg - 10 pills,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=800,
,sildenafil-citrate,Sildenafil Citrate,Generic Viagra,Effective treatment for erectile dysfunction. Sildenafil helps increase blood flow to facilitate erections.,published,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=400,50,,,,,India,,,,,Erectile Dysfunction,TRUE,,,100mg - 30 pills,SIL-100-30,,FALSE,TRUE,,,,,,,,,70,70,Dosage,100mg - 30 pills,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=800,
,sildenafil-citrate,Sildenafil Citrate,Generic Viagra,Effective treatment for erectile dysfunction. Sildenafil helps increase blood flow to facilitate erections.,published,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=400,50,,,,,India,,,,,Erectile Dysfunction,TRUE,,,100mg - 60 pills,SIL-100-60,,FALSE,TRUE,,,,,,,,,120,120,Dosage,100mg - 60 pills,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=800,
,tadalafil,Tadalafil,Generic Cialis,Long-acting ED treatment lasting up to 36 hours. Take as needed or daily low-dose option. Works in 30 minutes.,published,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=400,50,,,,,India,,,,,Erectile Dysfunction,TRUE,,,5mg - 30 pills,TAD-5-30,,FALSE,TRUE,,,,,,,,,40,40,Dosage,5mg - 30 pills,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=800,
,tadalafil,Tadalafil,Generic Cialis,Long-acting ED treatment lasting up to 36 hours. Take as needed or daily low-dose option.,published,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=400,50,,,,,India,,,,,Erectile Dysfunction,TRUE,,,10mg - 10 pills,TAD-10-10,,FALSE,TRUE,,,,,,,,,25,25,Dosage,10mg - 10 pills,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=800,
,tadalafil,Tadalafil,Generic Cialis,Long-acting ED treatment lasting up to 36 hours. Take as needed or daily low-dose option.,published,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=400,50,,,,,India,,,,,Erectile Dysfunction,TRUE,,,10mg - 30 pills,TAD-10-30,,FALSE,TRUE,,,,,,,,,60,60,Dosage,10mg - 30 pills,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=800,
,tadalafil,Tadalafil,Generic Cialis,Long-acting ED treatment lasting up to 36 hours. Take as needed or daily low-dose option.,published,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=400,50,,,,,India,,,,,Erectile Dysfunction,TRUE,,,20mg - 10 pills,TAD-20-10,,FALSE,TRUE,,,,,,,,,35,35,Dosage,20mg - 10 pills,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=800,
,tadalafil,Tadalafil,Generic Cialis,Long-acting ED treatment lasting up to 36 hours. Take as needed or daily low-dose option.,published,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=400,50,,,,,India,,,,,Erectile Dysfunction,TRUE,,,20mg - 30 pills,TAD-20-30,,FALSE,TRUE,,,,,,,,,85,85,Dosage,20mg - 30 pills,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=800,
,tadalafil,Tadalafil,Generic Cialis,Long-acting ED treatment lasting up to 36 hours. Take as needed or daily low-dose option.,published,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=400,50,,,,,India,,,,,Erectile Dysfunction,TRUE,,,20mg - 60 pills,TAD-20-60,,FALSE,TRUE,,,,,,,,,150,150,Dosage,20mg - 60 pills,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=800,
,finasteride,Finasteride,Generic Propecia,Daily tablet for male pattern baldness. Prevents hair loss and promotes regrowth. Visible results in 3-6 months.,published,https://images.unsplash.com/photo-1631549916768-4119b2e5f926?w=400,50,,,,,India,,,,,Hair Loss,TRUE,,,1mg - 30 pills,FIN-1-30,,FALSE,TRUE,,,,,,,,,25,25,Dosage,1mg - 30 pills,https://images.unsplash.com/photo-1631549916768-4119b2e5f926?w=800,
,finasteride,Finasteride,Generic Propecia,Daily tablet for male pattern baldness. Prevents hair loss and promotes regrowth.,published,https://images.unsplash.com/photo-1631549916768-4119b2e5f926?w=400,50,,,,,India,,,,,Hair Loss,TRUE,,,1mg - 90 pills,FIN-1-90,,FALSE,TRUE,,,,,,,,,60,60,Dosage,1mg - 90 pills,https://images.unsplash.com/photo-1631549916768-4119b2e5f926?w=800,
,finasteride,Finasteride,Generic Propecia,Daily tablet for male pattern baldness. Prevents hair loss and promotes regrowth.,published,https://images.unsplash.com/photo-1631549916768-4119b2e5f926?w=400,50,,,,,India,,,,,Hair Loss,TRUE,,,1mg - 180 pills,FIN-1-180,,FALSE,TRUE,,,,,,,,,100,100,Dosage,1mg - 180 pills,https://images.unsplash.com/photo-1631549916768-4119b2e5f926?w=800,
,lisinopril,Lisinopril,Blood Pressure Control,ACE inhibitor for high blood pressure and heart failure. Once daily dosing. May cause dry cough in some patients.,published,https://images.unsplash.com/photo-1550572017-edd951aa8f72?w=400,50,,,,,USA,,,,,Blood Pressure,TRUE,,,10mg - 30 pills,LIS-10-30,,FALSE,TRUE,,,,,,,,,15,15,Dosage,10mg - 30 pills,https://images.unsplash.com/photo-1550572017-edd951aa8f72?w=800,
,lisinopril,Lisinopril,Blood Pressure Control,ACE inhibitor for high blood pressure and heart failure. Once daily dosing.,published,https://images.unsplash.com/photo-1550572017-edd951aa8f72?w=400,50,,,,,USA,,,,,Blood Pressure,TRUE,,,10mg - 90 pills,LIS-10-90,,FALSE,TRUE,,,,,,,,,35,35,Dosage,10mg - 90 pills,https://images.unsplash.com/photo-1550572017-edd951aa8f72?w=800,
,lisinopril,Lisinopril,Blood Pressure Control,ACE inhibitor for high blood pressure and heart failure. Once daily dosing.,published,https://images.unsplash.com/photo-1550572017-edd951aa8f72?w=400,50,,,,,USA,,,,,Blood Pressure,TRUE,,,20mg - 30 pills,LIS-20-30,,FALSE,TRUE,,,,,,,,,20,20,Dosage,20mg - 30 pills,https://images.unsplash.com/photo-1550572017-edd951aa8f72?w=800,
,lisinopril,Lisinopril,Blood Pressure Control,ACE inhibitor for high blood pressure and heart failure. Once daily dosing.,published,https://images.unsplash.com/photo-1550572017-edd951aa8f72?w=400,50,,,,,USA,,,,,Blood Pressure,TRUE,,,20mg - 90 pills,LIS-20-90,,FALSE,TRUE,,,,,,,,,45,45,Dosage,20mg - 90 pills,https://images.unsplash.com/photo-1550572017-edd951aa8f72?w=800,
,atorvastatin,Atorvastatin,Generic Lipitor,Statin medication to lower cholesterol and reduce cardiovascular risk. Best taken in the evening.,published,https://images.unsplash.com/photo-1585435557343-3b092031a831?w=400,50,,,,,India,,,,,Cholesterol,TRUE,,,10mg - 30 pills,ATO-10-30,,FALSE,TRUE,,,,,,,,,15,15,Dosage,10mg - 30 pills,https://images.unsplash.com/photo-1585435557343-3b092031a831?w=800,
,atorvastatin,Atorvastatin,Generic Lipitor,Statin medication to lower cholesterol and reduce cardiovascular risk.,published,https://images.unsplash.com/photo-1585435557343-3b092031a831?w=400,50,,,,,India,,,,,Cholesterol,TRUE,,,10mg - 90 pills,ATO-10-90,,FALSE,TRUE,,,,,,,,,35,35,Dosage,10mg - 90 pills,https://images.unsplash.com/photo-1585435557343-3b092031a831?w=800,
,atorvastatin,Atorvastatin,Generic Lipitor,Statin medication to lower cholesterol and reduce cardiovascular risk.,published,https://images.unsplash.com/photo-1585435557343-3b092031a831?w=400,50,,,,,India,,,,,Cholesterol,TRUE,,,20mg - 30 pills,ATO-20-30,,FALSE,TRUE,,,,,,,,,20,20,Dosage,20mg - 30 pills,https://images.unsplash.com/photo-1585435557343-3b092031a831?w=800,
,atorvastatin,Atorvastatin,Generic Lipitor,Statin medication to lower cholesterol and reduce cardiovascular risk.,published,https://images.unsplash.com/photo-1585435557343-3b092031a831?w=400,50,,,,,India,,,,,Cholesterol,TRUE,,,20mg - 90 pills,ATO-20-90,,FALSE,TRUE,,,,,,,,,48,48,Dosage,20mg - 90 pills,https://images.unsplash.com/photo-1585435557343-3b092031a831?w=800,
,sertraline,Sertraline,Generic Zoloft,SSRI antidepressant for depression anxiety PTSD and OCD. May take 4-6 weeks for full effect.,published,https://images.unsplash.com/photo-1471864190281-a93a3070b6de?w=400,50,,,,,USA,,,,,Antidepressants,TRUE,,,50mg - 30 pills,SER-50-30,,FALSE,TRUE,,,,,,,,,20,20,Dosage,50mg - 30 pills,https://images.unsplash.com/photo-1471864190281-a93a3070b6de?w=800,
,sertraline,Sertraline,Generic Zoloft,SSRI antidepressant for depression anxiety PTSD and OCD.,published,https://images.unsplash.com/photo-1471864190281-a93a3070b6de?w=400,50,,,,,USA,,,,,Antidepressants,TRUE,,,50mg - 90 pills,SER-50-90,,FALSE,TRUE,,,,,,,,,48,48,Dosage,50mg - 90 pills,https://images.unsplash.com/photo-1471864190281-a93a3070b6de?w=800,
,sertraline,Sertraline,Generic Zoloft,SSRI antidepressant for depression anxiety PTSD and OCD.,published,https://images.unsplash.com/photo-1471864190281-a93a3070b6de?w=400,50,,,,,USA,,,,,Antidepressants,TRUE,,,100mg - 30 pills,SER-100-30,,FALSE,TRUE,,,,,,,,,28,28,Dosage,100mg - 30 pills,https://images.unsplash.com/photo-1471864190281-a93a3070b6de?w=800,
,sertraline,Sertraline,Generic Zoloft,SSRI antidepressant for depression anxiety PTSD and OCD.,published,https://images.unsplash.com/photo-1471864190281-a93a3070b6de?w=400,50,,,,,USA,,,,,Antidepressants,TRUE,,,100mg - 90 pills,SER-100-90,,FALSE,TRUE,,,,,,,,,68,68,Dosage,100mg - 90 pills,https://images.unsplash.com/photo-1471864190281-a93a3070b6de?w=800,
,metformin,Metformin,Type 2 Diabetes,First-line medication for type 2 diabetes. Lowers blood sugar levels. Take with meals to reduce GI side effects.,published,https://images.unsplash.com/photo-1584362917165-526a968579e8?w=400,50,,,,,India,,,,,Diabetes,TRUE,,,500mg - 60 pills,MET-500-60,,FALSE,TRUE,,,,,,,,,15,15,Dosage,500mg - 60 pills,https://images.unsplash.com/photo-1584362917165-526a968579e8?w=800,
,metformin,Metformin,Type 2 Diabetes,First-line medication for type 2 diabetes. Lowers blood sugar levels.,published,https://images.unsplash.com/photo-1584362917165-526a968579e8?w=400,50,,,,,India,,,,,Diabetes,TRUE,,,500mg - 180 pills,MET-500-180,,FALSE,TRUE,,,,,,,,,35,35,Dosage,500mg - 180 pills,https://images.unsplash.com/photo-1584362917165-526a968579e8?w=800,
,metformin,Metformin,Type 2 Diabetes,First-line medication for type 2 diabetes. Lowers blood sugar levels.,published,https://images.unsplash.com/photo-1584362917165-526a968579e8?w=400,50,,,,,India,,,,,Diabetes,TRUE,,,1000mg - 60 pills,MET-1000-60,,FALSE,TRUE,,,,,,,,,25,25,Dosage,1000mg - 60 pills,https://images.unsplash.com/photo-1584362917165-526a968579e8?w=800,
,metformin,Metformin,Type 2 Diabetes,First-line medication for type 2 diabetes. Lowers blood sugar levels.,published,https://images.unsplash.com/photo-1584362917165-526a968579e8?w=400,50,,,,,India,,,,,Diabetes,TRUE,,,1000mg - 180 pills,MET-1000-180,,FALSE,TRUE,,,,,,,,,60,60,Dosage,1000mg - 180 pills,https://images.unsplash.com/photo-1584362917165-526a968579e8?w=800,
,amoxicillin,Amoxicillin,Broad Spectrum Antibiotic,Penicillin antibiotic for bacterial infections. Common for ear throat and skin infections. Complete full course.,published,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=400,50,,,,,USA,,,,,Antibiotics,TRUE,,,500mg - 21 pills,AMO-500-21,,FALSE,TRUE,,,,,,,,,15,15,Dosage,500mg - 21 pills,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=800,
,amoxicillin,Amoxicillin,Broad Spectrum Antibiotic,Penicillin antibiotic for bacterial infections. Common for ear throat and skin infections.,published,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=400,50,,,,,USA,,,,,Antibiotics,TRUE,,,500mg - 30 pills,AMO-500-30,,FALSE,TRUE,,,,,,,,,20,20,Dosage,500mg - 30 pills,https://images.unsplash.com/photo-1587854692152-cbe660dbde88?w=800,
,azithromycin,Azithromycin,Z-Pack Antibiotic,Macrolide antibiotic for respiratory infections. 5-day treatment course. Take on empty stomach.,published,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=400,50,,,,,India,,,,,Antibiotics,TRUE,,,250mg - 6 pills,AZI-250-6,,FALSE,TRUE,,,,,,,,,15,15,Dosage,250mg - 6 pills,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=800,
,azithromycin,Azithromycin,Z-Pack Antibiotic,Macrolide antibiotic for respiratory infections. 5-day treatment course.,published,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=400,50,,,,,India,,,,,Antibiotics,TRUE,,,500mg - 3 pills,AZI-500-3,,FALSE,TRUE,,,,,,,,,18,18,Dosage,500mg - 3 pills,https://images.unsplash.com/photo-1584308666744-24d5c474f2ae?w=800,
,gabapentin,Gabapentin,Nerve Pain Relief,Anticonvulsant for nerve pain seizures and restless leg syndrome. Gradual dose adjustment required.,published,https://images.unsplash.com/photo-1471864190281-a93a3070b6de?w=400,50,,,,,USA,,,,,Pain Management,TRUE,,,300mg - 90 pills,GAB-300-90,,FALSE,TRUE,,,,,,,,,30,30,Dosage,300mg - 90 pills,https://images.unsplash.com/photo-1471864190281-a93a3070b6de?w=800,
